step,score_mean
1,0.05625000223517418
2,0.11562500149011612
3,0.02500000037252903
4,0.0
5,0.0625
6,0.02187500149011612
7,0.503125011920929
8,0.0
9,0.07187499850988388
10,0.07500000298023224
11,0.012500000186264515
12,0.05000000074505806
13,0.10000000149011612
14,0.0468750037252903
15,0.04062500223517418
16,0.07500000298023224
17,0.04062499850988388
18,0.13750000298023224
19,0.012500000186264515
20,0.0
21,0.02812499925494194
22,0.02812499925494194
23,0.10000000149011612
24,0.02500000037252903
25,0.02500000037252903
26,0.06562499701976776
27,0.02812499925494194
28,0.5625
29,0.02812499925494194
30,0.3968749940395355
31,0.07500000298023224
32,0.02500000037252903
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0625
40,0.0031250000465661287
41,0.0
42,0.0
43,0.0
44,0.012500000186264515
45,0.0
46,0.0062500000931322575
47,0.0
48,0.0
49,0.0
50,0.012500000186264515
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.012500000186264515
58,0.0
59,0.0
60,0.8125
61,0.0
62,0.44062501192092896
63,0.02812500111758709
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.125
72,0.0
73,0.0
74,0.0
75,0.0
76,0.012500000186264515
77,0.012500000186264515
78,0.0062500000931322575
79,0.0
80,0.012500000186264515
81,0.0
82,0.0625
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,0.012500000186264515
90,0.0
91,0.012500000186264515
92,1.0
93,0.0
94,0.8125
95,0.07500000298023224
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.012500000186264515
103,0.25
104,0.0
105,0.0
106,0.0625
107,0.0
108,0.012500000186264515
109,0.0625
110,0.0031250000465661287
111,0.0
112,0.0
113,0.0
114,0.1875
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.012500000186264515
123,0.012500000186264515
124,0.875
125,0.0
126,0.5625
127,0.08750000596046448
128,0.0
129,0.0
130,0.0
131,0.0
132,0.0
133,0.0
134,0.0625
135,0.3125
136,0.0
137,0.0
138,0.0625
139,0.0
140,0.012500000186264515
141,0.13750000298023224
142,0.0062500000931322575
143,0.0
144,0.012500000186264515
145,0.0
146,0.3125
147,0.0
148,0.0
149,0.0
150,0.0
151,0.0
152,0.0
153,0.0
154,0.0
155,0.0
156,0.9375
157,0.0
158,0.8125
159,0.16562500596046448
160,0.0
161,0.0
162,0.012500000186264515
163,0.0
164,0.0
165,0.0
166,0.1250000149011612
167,0.5625
168,0.0
169,0.0
170,0.0625
171,0.0
172,0.05000000074505806
173,0.1875
174,0.0
175,0.0
176,0.012500000186264515
177,0.0
178,0.9375
179,0.0
180,0.0
181,0.0
182,0.0
183,0.0
184,0.0
185,0.0
186,0.012500000186264515
187,0.02500000037252903
188,1.0
189,0.0
190,0.75
191,0.1875000149011612
192,0.0
